PROGRAMA;CONCURSO;FOLIO;AGNOPOSTULACION;AGNOFALLO;RESPONSABLEPROYECTO;SEXO;ROLINSTITUCION;INSTITUCION1ERNIVEL;RUTINSTITUCION;PAISINSTITUCION;REGIONINSTITUCION
ASTRONOMIA;FONDO ASTRONOMIA QUIMAL;QUIMAL160001;2016;2016;NICOLAS MUJICA FERNANDEZ;HOMBRE;INSTITUCION PATROCINANTE;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
ASTRONOMIA;FONDO ASTRONOMIA QUIMAL;QUIMAL160009;2016;2016;ROLANDO DÜNNER PLANELLA;HOMBRE;INSTITUCION PATROCINANTE;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
ASTRONOMIA;FONDO ASTRONOMIA QUIMAL;QUIMAL160012;2016;2016;RODRIGO REEVES DIAZ;HOMBRE;INSTITUCION PATROCINANTE;UNIVERSIDAD DE CONCEPCION;81494400-K;CHILE;REGION DEL BIO-BIO
ASTRONOMIA;FONDO ASTRONOMIA QUIMAL;QUIMAL160001;2016;2016;NICOLAS MUJICA FERNANDEZ;HOMBRE;INSTITUCION APORTANTE;UNIVERSIDAD DE CHILE;60910000-1;CHILE;NO REGISTRA REGION
ASTRONOMIA;FONDO ASTRONOMIA QUIMAL;QUIMAL160009;2016;2016;ROLANDO DÜNNER PLANELLA;HOMBRE;INSTITUCION APORTANTE;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;NO REGISTRA REGION
INFORMACION-CIENTIFICA;FONDO DE PUBLICACION DE REVISTAS CIENTIFICAS 2016;FP160003;2016;2016;GABRIELA ORTUZAR FONTT;MUJER;INSTITUCION RESPONSABLE/PUBLICA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
INFORMACION-CIENTIFICA;FONDO DE PUBLICACION DE REVISTAS CIENTIFICAS 2016;FP160007;2016;2016;GRACIELA MUNOZ RIVEROS;MUJER;INSTITUCION RESPONSABLE/PRIVADA;PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;81669200-8;CHILE;REGION DE VALPARAISO
INFORMACION-CIENTIFICA;FONDO DE PUBLICACION DE REVISTAS CIENTIFICAS 2016;FP160011;2016;2016;SERGIO ARCE MOLINA;HOMBRE;INSTITUCION RESPONSABLE/PRIVADA;UNIVERSIDAD CATOLICA DEL NORTE;81518400-9;CHILE;REGION DE ANTOFAGASTA
INFORMACION-CIENTIFICA;FONDO DE PUBLICACION DE REVISTAS CIENTIFICAS 2016;FP160013;2016;2016;RAFAEL SANCHEZ ACUNA;HOMBRE;INSTITUCION RESPONSABLE/PRIVADA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
INFORMACION-CIENTIFICA;FONDO DE PUBLICACION DE REVISTAS CIENTIFICAS 2016;FP160016;2016;2016;ALEX SEGUEL FUENTEALBA;HOMBRE;INSTITUCION RESPONSABLE/PUBLICA;UNIVERSIDAD DE LA FRONTERA;87912900-1;CHILE;REGION DE LA ARAUCANIA
INFORMACION-CIENTIFICA;FONDO DE PUBLICACION DE REVISTAS CIENTIFICAS 2016;FP160017;2016;2016;FLAVIA MORELLO REPETTO;MUJER;INSTITUCION RESPONSABLE/PUBLICA;UNIVERSIDAD DE MAGALLANES;71133700-8;CHILE;REGION DE MAGALLANES Y LA ANTARTICA CHILENA
INFORMACION-CIENTIFICA;FONDO DE PUBLICACION DE REVISTAS CIENTIFICAS 2016;FP160018;2016;2016;MARIO RODRIGUEZ FERNANDEZ;HOMBRE;INSTITUCION RESPONSABLE/PUBLICA;UNIVERSIDAD DE CONCEPCION;81494400-K;CHILE;REGION DEL BIO-BIO
INFORMACION-CIENTIFICA;VIII CONCURSO DE ESTUDIOS SOBRE PLURALISMO EN EL SISTEMA INFORMATIVO NACIONAL - 2016;PLU160023;2016;2016;RODRIGO URIBE BRAVO;HOMBRE;BENEFICIARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
INFORMACION-CIENTIFICA;VIII CONCURSO DE ESTUDIOS SOBRE PLURALISMO EN EL SISTEMA INFORMATIVO NACIONAL - 2016;PLU160004;2016;2016;PEDRO ANGUITA RAMIREZ;HOMBRE;BENEFICIARIA;UNIVERSIDAD MAYOR;71500500-K;CHILE;REGION METROPOLITANA DE SANTIAGO
INFORMACION-CIENTIFICA;VIII CONCURSO DE ESTUDIOS SOBRE PLURALISMO EN EL SISTEMA INFORMATIVO NACIONAL - 2016;PLU160012;2016;2016;MARIA ORCHARD RIEIRO;MUJER;BENEFICIARIA;UNIVERSIDAD ALBERTO HURTADO;73923400-K;CHILE;REGION METROPOLITANA DE SANTIAGO
INFORMACION-CIENTIFICA;VIII CONCURSO DE ESTUDIOS SOBRE PLURALISMO EN EL SISTEMA INFORMATIVO NACIONAL - 2016;PLU160025;2016;2016;CRISTHIAN CERNA MOSCOSO;HOMBRE;BENEFICIARIA;CENTRO DE INVESTIGACIONES DEL HOMBRE EN EL DESIERTO;65412080-3;CHILE;REGION DE ARICA Y PARINACOTA
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160004;2016;2016;RUBI RODRIGUEZ;MUJER;INSTITUCION ASOCIADA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160102;2016;2016;MARIO  ARENAS;HOMBRE;INSTITUCION ASOCIADA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160066;2016;2016;ALFONSO URZUA MORALES;HOMBRE;INSTITUCION ASOCIADA;UNIVERSIDAD DE SANTIAGO DE CHILE;60911000-7;CHILE;REGION METROPOLITANA DE SANTIAGO
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160001;2016;2016;MARCELO OLIVA MORENO;HOMBRE;INSTITUCION ASOCIADA;UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION;71915800-5;CHILE;REGION DEL BIO-BIO
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160004;2016;2016;RUBI RODRIGUEZ;MUJER;INSTITUCION ALBERGANTE;UNIVERSIDAD DE LA FRONTERA;87912900-1;CHILE;REGION DE LA ARAUCANIA
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160009;2016;2016;FRANCISCO THER RIOS;HOMBRE;INSTITUCION ALBERGANTE;UNIVERSIDAD DE LOS LAGOS;70772100-6;CHILE;REGION DE LOS LAGOS
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160013;2016;2016;ROBERTO DUFRAIX TAPIA;HOMBRE;INSTITUCION ALBERGANTE;UNIVERSIDAD ARTURO PRAT;70777500-9;CHILE;REGION DE TARAPACA
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160014;2016;2016;SUSANA PAULA JULIA;MUJER;INSTITUCION ALBERGANTE;UNIVERSIDAD AUSTRAL DE CHILE;81380500-6;CHILE;REGION DE LOS RIOS
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160015;2016;2016;AMIR REZAEIAN;HOMBRE;INSTITUCION ALBERGANTE;UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;81668700-4;CHILE;REGION DE VALPARAISO
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160018;2016;2016;JULIO OLIVA ZAPATA;HOMBRE;INSTITUCION ALBERGANTE;UNIVERSIDAD DE CONCEPCION;81494400-K;CHILE;REGION DEL BIO-BIO
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160020;2016;2016;RAMON SOTOMAYOR ZARATE;HOMBRE;INSTITUCION ALBERGANTE;UNIVERSIDAD DE VALPARAISO;60921000-1;CHILE;REGION DE VALPARAISO
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160024;2016;2016;ADRIAN PALACIOS VARGAS;HOMBRE;INSTITUCION ALBERGANTE;UNIVERSIDAD DE VALPARAISO;60921000-1;CHILE;REGION DE VALPARAISO
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160025;2016;2016;IGNACIO MUGA URQUIZA;HOMBRE;INSTITUCION ALBERGANTE;PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;81669200-8;CHILE;REGION DE VALPARAISO
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160028;2016;2016;AMELIA BAYO ARAN;MUJER;INSTITUCION ALBERGANTE;UNIVERSIDAD DE VALPARAISO;60921000-1;CHILE;REGION DE VALPARAISO
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160036;2016;2016;MARJORIE REYES DIAZ;MUJER;INSTITUCION ASOCIADA;UNIVERSIDAD CATOLICA DE TEMUCO;71918700-5;CHILE;REGION DE LA ARAUCANIA
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160036;2016;2016;MARJORIE REYES DIAZ;MUJER;INSTITUCION ALBERGANTE;UNIVERSIDAD DE LA FRONTERA;87912900-1;CHILE;REGION DE LA ARAUCANIA
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160037;2016;2016;JOSE MUNOZ REYES;HOMBRE;INSTITUCION ALBERGANTE;UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION;70754700-6;CHILE;REGION DE VALPARAISO
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160038;2016;2016;AMALIA PIZARRO MADARIAGA;MUJER;INSTITUCION ALBERGANTE;UNIVERSIDAD DE VALPARAISO;60921000-1;CHILE;REGION DE VALPARAISO
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160001;2016;2016;MARCELO OLIVA MORENO;HOMBRE;INSTITUCION ALBERGANTE;UNIVERSIDAD DE ANTOFAGASTA;70791800-4;CHILE;NO REGISTRA REGION
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160042;2016;2016;EDELMIRA GALVEZ AHUMADA;MUJER;INSTITUCION ASOCIADA;UNIVERSIDAD DE ANTOFAGASTA;70791800-4;CHILE;REGION DE ANTOFAGASTA
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160042;2016;2016;EDELMIRA GALVEZ AHUMADA;MUJER;INSTITUCION ALBERGANTE;UNIVERSIDAD CATOLICA DEL NORTE;81518400-9;CHILE;REGION DE ANTOFAGASTA
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160001;2016;2016;MARCELO OLIVA MORENO;HOMBRE;INSTITUCION EXTRANJERA ASOCIADA;UNIVERSIDAD DE BRETANA OCCIDENTAL;NO APLICA;FRANCIA;NO REGISTRA REGION
PAI;ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS (MEC) – CONVOCATORIA 2016;PAI80160004;2016;2016;RUBI RODRIGUEZ;MUJER;INSTITUCION EXTRANJERA ASOCIADA;FRIEDRICH-ALEXANDER UNIVERSITAT ERLANGEN-NURNBERG;NO APLICA;ALEMANIA;NO REGISTRA REGION
